id,question,cluster
91,How is the university's housing office?,3
92,What is the university's policy on academic load?,0
93,Are there any opportunities for study abroad programs?,2
94,What is the university's policy on academic standing?,0
95,How is the university's athletic program?,3
96,What is the university's policy on academic suspension?,0
97,Are there any opportunities for student teaching?,2
98,What is the university's policy on academic credit?,0
99,How is the university's library?,3
100,What is the university's policy on academic probation?,0
101,Are there any opportunities for research assistantships?,2
102,What is the university's policy on academic dismissal?,0
103,How is the university's financial aid office?,3
104,What is the university's policy on academic load?,0
105,Are there any opportunities for student government involvement?,2
106,What is the university's policy on academic freedom?,0
107,How is the university's career services office?,3
108,What is the university's policy on academic integrity?,0
109,Are there any opportunities for volunteer work?,2
110,What is the university's policy on academic suspension?,0
111,How is the university's food service?,3
112,What is the university's policy on academic load?,0
113,Are there any opportunities for student research?,2
114,What is the university's policy on academic standing?,0
115,How is the university's campus security?,3
116,What is the university's policy on academic credit?,0
117,Are there any opportunities for student leadership positions?,2
118,What is the university's policy on academic probation?,0
119,How is the university's transportation system?,3
120,What is the university's policy on academic dismissal?,0
121,Are there any opportunities for student clubs and organizations?,2
122,What is the university's policy on academic dishonesty?,0
123,How is the university's housing office?,3
124,What is the university's policy on academic load?,0
125,Who is the founder?,3
126,What are the admission requirements for international students?,1
127,What is the cutoff for Computer Science Engineering?,1
128,What is the fee structure for a B.Tech program?,1
129,Does the university offer scholarships for meritorious students?,1
130,What are the hostel facilities like?,3
131,What is the faculty-to-student ratio?,3
132,Are there any industry tie-ups for internships?,2
133,What is the average package offered during placements?,1
134,What are the extracurricular activities available on campus?,3
135,Does the university have a good placement record?,3
136,What is the curriculum like for a particular course?,3
137,Are there any specialized labs or research facilities?,2
138,What is the student exchange program like?,3
139,Does the university have a good alumni network?,3
140,What are the accommodation options available for students?,2
141,What is the campus infrastructure like?,3
142,Are there any sports facilities on campus?,3
143,What is the quality of the library and its resources?,3
144,What is the process for applying for a hostel room?,1
145,What are the rules and regulations for hostel residents?,1
146,What is the cost of mess food?,1
147,Are there any restrictions on timing for hostel students?,1
148,What are the security measures in place for the hostel?,3
149,Are there any guest rooms available for visitors?,2
150,What is the process for applying for a scholarship?,1
151,What are the eligibility criteria for scholarships?,1
152,How many scholarships are awarded each year?,1
153,What is the value of the scholarships offered?,1
154,Are there any scholarships specifically for international students?,2
155,What are the different types of scholarships available?,1
156,What is the process for applying for financial aid?,1
157,What are the eligibility criteria for financial aid?,1
158,How much financial aid is available each year?,1
159,Are there any work-study programs available?,2
160,What is the process for applying for a student loan?,1
161,What are the eligibility criteria for a student loan?,1
162,How much loan can a student avail?,1
163,What is the interest rate on student loans?,1
164,What is the repayment period for student loans?,1
165,What are the different departments in the university?,3
166,What are the qualifications of the faculty members?,1
175,What is the process for applying for an internship?,1
167,What is the faculty-student ratio in different departments?,3
168,How accessible are the faculty members to students?,3
169,Are there any guest lecturers or visiting professors?,2
170,What is the research output of the faculty members?,3
171,What are the different research centers in the university?,3
172,Are there any opportunities for students to participate in research projects?,2
173,What is the process for applying for a research project?,1
174,What are the funding opportunities available for research projects?,2
176,What are the eligibility criteria for internships?,1
177,How many internships are offered each year?,1
178,What are the different types of internships available?,2
179,Are there any international internship opportunities?,2
180,What is the stipend provided for internships?,1
181,What is the process for applying for a job through campus placements?,1
182,What are the eligibility criteria for campus placements?,1
183,How many companies participate in campus placements?,3
184,What is the average package offered during campus placements?,1
185,What are the top recruiters for the university?,3
186,What is the placement record of the university?,3
187,What is the process for applying for a postgraduate program?,1
188,What are the eligibility criteria for postgraduate programs?,1
189,What are the different postgraduate programs offered?,1
190,What is the fee structure for postgraduate programs?,1
191,Are there any scholarships available for postgraduate students?,2
192,What is the process for applying for a PhD program?,1
193,What are the eligibility criteria for a PhD program?,1
194,What are the different PhD programs offered?,1
195,What is the funding available for PhD students?,1
196,What is the duration of a PhD program?,1
197,What are the different student clubs and organizations?,3
198,What are the cultural events and festivals organized by the university?,3
199,Are there any sports teams and competitions organized by the university?,3
200,What are the facilities available for sports and fitness?,3
201,Are there any social service initiatives organized by the university?,3
202,How is the student life on campus?,3
203,What is the diversity of the student population?,3
204,Is there a strong sense of community among students?,3
205,Are there any mentorship programs for students?,2
214,What are the rules and regulations for students?,1
206,What is the counseling and support services offered by the university?,3
207,What is the process for applying for a student visa?,1
208,What are the documents required for a student visa?,1
209,What is the cost of living in the city where the university is located?,3
210,What are the transportation options available for students?,3
211,What are the healthcare facilities available for students?,3
212,What are the safety and security measures in place on campus?,3
213,What is the process for grievance redressal?,1
215,What is the dress code for students?,1
216,What are the timings for classes and labs?,1
217,What is the attendance policy for students?,0
218,What is the examination system like?,3
219,What is the grading system used by the university?,3
220,What is the process for revaluation and re-examination?,1
221,What are the rules for academic misconduct?,0
222,What is the process for withdrawing from a course?,1
223,What is the process for transferring to another university?,1
224,What is the process for obtaining a degree certificate?,1
225,What is the process for obtaining a transcript?,1
226,What is the alumni association like?,3
227,How can alumni stay connected with the university?,3
228,What are the benefits of being an alumnus?,3
229,What are the future prospects for graduates of the university?,3
