Question,Feedback
What is the university's policy on academic integrity?,0
Are there any opportunities for volunteer work?,1
What is the university's policy on academic suspension?,0
How is the university's food service?,1
What is the university's policy on academic load?,0
Are there any opportunities for student research?,1
What is the university's policy on academic standing?,0
How is the university's campus security?,1
What is the university's policy on academic credit?,0
Are there any opportunities for student leadership positions?,1
What is the university's policy on academic probation?,0
How is the university's transportation system?,1
What is the university's policy on academic dismissal?,0
Are there any opportunities for student clubs and organizations?,1
What is the university's policy on academic dishonesty?,0
How is the university's housing office?,1
What is the university's policy on academic load?,0
Are there any opportunities for study abroad programs?,1
What is the university's policy on academic standing?,0
How is the university's athletic program?,1
What is the university's policy on academic suspension?,0
Are there any opportunities for student teaching?,1
What is the university's policy on academic credit?,0
How is the university's library?,1
What is the university's policy on academic probation?,0
Are there any opportunities for research assistantships?,1
What is the university's policy on academic dismissal?,0
How is the university's financial aid office?,1
What is the university's policy on academic load?,0
Are there any opportunities for student government involvement?,1
What is the university's policy on academic freedom?,0
How is the university's career services office?,1
What is the university's policy on academic integrity?,0
Are there any opportunities for volunteer work?,1
What is the university's policy on academic suspension?,0
How is the university's food service?,1
What is the university's policy on academic load?,0
Are there any opportunities for student research?,1
What is the university's policy on academic standing?,0
How is the university's campus security?,1
What is the university's policy on academic credit?,0
Are there any opportunities for student leadership positions?,1
What is the university's policy on academic probation?,0
How is the university's transportation system?,1
What is the university's policy on academic dismissal?,0
Are there any opportunities for student clubs and organizations?,1
What is the university's policy on academic dishonesty?,0
How is the university's housing office?,1
What is the university's policy on academic load?,0
Who is the founder?,1
What are the admission requirements for international students?,1
What is the cutoff for Computer Science Engineering?,1
What is the fee structure for a B.Tech program?,1
Does the university offer scholarships for meritorious students?,1
What are the hostel facilities like?,1
What is the faculty-to-student ratio?,1
Are there any industry tie-ups for internships?,1
What is the average package offered during placements?,1
What are the extracurricular activities available on campus?,1
Does the university have a good placement record?,1
What is the curriculum like for a particular course?,1
Are there any specialized labs or research facilities?,1
What is the student exchange program like?,1
Does the university have a good alumni network?,1
What are the accommodation options available for students?,1
What is the campus infrastructure like?,1
Are there any sports facilities on campus?,1
What is the quality of the library and its resources?,1
What is the process for applying for a hostel room?,1
What are the rules and regulations for hostel residents?,1
What is the cost of mess food?,1
Are there any restrictions on timing for hostel students?,1
What are the security measures in place for the hostel?,1
Are there any guest rooms available for visitors?,1
What is the process for applying for a scholarship?,1
What are the eligibility criteria for scholarships?,1
How many scholarships are awarded each year?,1
What is the value of the scholarships offered?,1
Are there any scholarships specifically for international students?,1
What are the different types of scholarships available?,1
What is the process for applying for financial aid?,1
What are the eligibility criteria for financial aid?,1
How much financial aid is available each year?,1
Are there any work-study programs available?,1
What is the process for applying for a student loan?,1
What are the eligibility criteria for a student loan?,1
How much loan can a student avail?,1
What is the interest rate on student loans?,1
What is the repayment period for student loans?,1
What are the different departments in the university?,1
What are the qualifications of the faculty members?,1
What is the faculty-student ratio in different departments?,1
How accessible are the faculty members to students?,1
Are there any guest lecturers or visiting professors?,1
What is the research output of the faculty members?,1
What are the different research centers in the university?,1
Are there any opportunities for students to participate in research projects?,1
What is the process for applying for a research project?,1
What are the funding opportunities available for research projects?,1
What is the process for applying for an internship?,1
What are the eligibility criteria for internships?,1
How many internships are offered each year?,1
What are the different types of internships available?,1
Are there any international internship opportunities?,1
What is the stipend provided for internships?,1
What is the process for applying for a job through campus placements?,1
What are the eligibility criteria for campus placements?,1
How many companies participate in campus placements?,1
What is the average package offered during campus placements?,1
What are the top recruiters for the university?,1
What is the placement record of the university?,1
What is the process for applying for a postgraduate program?,1
What are the eligibility criteria for postgraduate programs?,1
What are the different postgraduate programs offered?,1
What is the fee structure for postgraduate programs?,1
Are there any scholarships available for postgraduate students?,1
What is the process for applying for a PhD program?,1
What are the eligibility criteria for a PhD program?,1
What are the different PhD programs offered?,1
What is the funding available for PhD students?,1
What is the duration of a PhD program?,1
What are the different student clubs and organizations?,1
What are the cultural events and festivals organized by the university?,1
Are there any sports teams and competitions organized by the university?,1
What are the facilities available for sports and fitness?,1
Are there any social service initiatives organized by the university?,1
How is the student life on campus?,1
What is the diversity of the student population?,1
Is there a strong sense of community among students?,1
Are there any mentorship programs for students?,1
What is the counseling and support services offered by the university?,1
What is the process for applying for a student visa?,1
What are the documents required for a student visa?,1
What is the cost of living in the city where the university is located?,1
What are the transportation options available for students?,1
What are the healthcare facilities available for students?,1
What are the safety and security measures in place on campus?,1
What is the process for grievance redressal?,1
What are the rules and regulations for students?,1
What is the dress code for students?,1
What are the timings for classes and labs?,1
What is the attendance policy for students?,1
What is the examination system like?,1
What is the grading system used by the university?,1
What is the process for revaluation and re-examination?,1
What are the rules for academic misconduct?,1
What is the process for withdrawing from a course?,1
What is the process for transferring to another university?,1
What is the process for obtaining a degree certificate?,1
What is the process for obtaining a transcript?,1
What is the alumni association like?,1
How can alumni stay connected with the university?,1
What are the benefits of being an alumnus?,1
What are the future prospects for graduates of the university?,1
